BUSINESS_YEAR,ANNUAL_SALES,ANNUAL_INTEREST
2000,534844,24070960236.0455
2001,533789,24038299052.4038
2002,533683,24042057211.9959
2003,534641,24083749591.6127
2004,534040,24033733172.3944
2005,533607,24024703455.8806
2006,534285,24061392798.4737
2007,533130,23986006521.6111
2008,534015,24018191241.9652
2009,533516,23989116623.8311
2010,533671,24022166047.4491
2011,533106,23983842056.0042
2012,533854,24021077803.7724
2013,533655,24026215590.1899
2014,534020,24030459613.5956
2015,532171,23950204509.831
2016,534467,24051122346.3845
2017,532674,23964580258.5371
