BUSINESS_YEAR,BUSINESS_MONTH,MONTHLY_SALES,MONTHLY_INTEREST
2000,1,31596,1421475290.2547
2000,2,29648,1333579116.7438
2000,3,31996,1441003187.8566
2000,4,30507,1373391872.1403
2000,5,31473,1418454314.0478
2000,6,30563,1377806953.4329
2000,7,31805,1430259722.308
2000,8,31805,1433968968.4676
2000,9,30659,1382627301.8812
2000,10,31531,1410851870.215
2000,11,30455,1369272155.6003
2000,12,32142,1445782490.2921
2001,1,31557,1412658036.8528
2001,2,28700,1290754639.991
2001,3,31632,1430132006.6903
2001,4,30510,1377148829.8833
2001,5,31852,1430659346.9929
2001,6,30463,1373244993.6208
2001,7,31929,1436036946.1088
2001,8,31969,1439662881.5658
2001,9,30945,1395611567.4603
2001,10,31712,1431505310.8236
2001,11,30758,1385664025.7418
2001,12,31937,1442905245.6821
2002,1,31990,1445280842.788
2002,2,28498,1279948509.4781
2002,3,31647,1422256365.4715
2002,4,30785,1389181828.2641
2002,5,31727,1432968953.926
2002,6,30924,1388708216.7944
2002,7,31753,1430694981.6519
2002,8,31619,1427921657.909
2002,9,30630,1376159171.4129
2002,10,31463,1412767535.0951
2002,11,30907,1396636272.5415
2002,12,31696,1426503682.1128
2003,1,31766,1432560140.2367
2003,2,28664,1292300649.4213
2003,3,31533,1414851194.4213
2003,4,30662,1380720305.9485
2003,5,32164,1443432138.5443
2003,6,30868,1393827708.2141
2003,7,31713,1431730292.7999
2003,8,31843,1429515413.0146
2003,9,30747,1390316743.7007
2003,10,31603,1425434454.9556
2003,11,30577,1380176063.7132
2003,12,32107,1450167117.5009
2004,1,31608,1424695318.6011
2004,2,29633,1332429479.3004
2004,3,31438,1420663095.5754
2004,4,30552,1374543675.5711
2004,5,31444,1413284600.8399
2004,6,30732,1386554651.5583
2004,7,31800,1429176149.0458
2004,8,31804,1436247359.2084
2004,9,30551,1375370119.2255
2004,10,31594,1416702042.8462
2004,11,30604,1386564976.6853
2004,12,31876,1440397033.5744
2005,1,31651,1418605339.7906
2005,2,28765,1297358415.3339
2005,3,31617,1423409826.7877
2005,4,30876,1386219434.2435
2005,5,31943,1440655128.6125
2005,6,30599,1378923162.6301
2005,7,31603,1425479522.5619
2005,8,31783,1428089726.0311
2005,9,30801,1392583440.5702
2005,10,31608,1423004096.2562
2005,11,30849,1382139953.3996
2005,12,31846,1433687671.2764
2006,1,31545,1418830779.6701
2006,2,28888,1307361499.2394
2006,3,32183,1452214868.8088
2006,4,31083,1400071633.045
2006,5,31794,1430445028.1331
2006,6,30744,1378546700.8916
2006,7,31571,1420317584.1384
2006,8,31780,1429624333.1056
2006,9,30606,1380787385.3383
2006,10,31391,1417692939.901
2006,11,30728,1388047306.0918
2006,12,31680,1420302049.3374
2007,1,31781,1432365715.3769
2007,2,28644,1291423372.3967
2007,3,31579,1422608857.0639
2007,4,30881,1388979248.4826
2007,5,31554,1416993962.8428
2007,6,30626,1380469087.8634
2007,7,32016,1440243052.092
2007,8,31576,1420433478.7498
2007,9,30637,1374166816.537
2007,10,31798,1430354849.3303
2007,11,30525,1376361446.2069
2007,12,31886,1432987001.9514
2008,1,31973,1433597679.5899
2008,2,29546,1330466090.6823
2008,3,31870,1433288925.824
2008,4,30668,1379491719.254
2008,5,31702,1427885287.9565
2008,6,30654,1378174019.2381
2008,7,31692,1430520262.7286
2008,8,31601,1421160925.6723
2008,9,30543,1374852949.2093
2008,10,31267,1406651406.2637
2008,11,30794,1384546636.5217
2008,12,32022,1443752739.1598
2009,1,31662,1420346138.8714
2009,2,28880,1297266862.2464
2009,3,31841,1428657080.266
2009,4,30543,1374822002.3465
2009,5,31552,1419675537.5485
2009,6,30539,1370087426.4123
2009,7,31860,1429606790.1069
2009,8,31193,1401023142.8683
2009,9,30856,1386801289.1392
2009,10,31338,1402920462.6192
2009,11,30788,1385723597.3389
2009,12,31979,1438082749.2756
2010,1,31665,1425694719.0684
2010,2,28588,1289120234.0317
2010,3,31467,1415082491.7643
2010,4,30897,1385429862.7073
2010,5,31836,1432591207.7854
2010,6,30449,1373664646.1488
2010,7,31910,1437014138.2664
2010,8,31809,1432465941.0247
2010,9,30922,1388537559.6871
2010,10,31579,1423144314.6336
2010,11,30605,1379120986.0663
2010,12,31659,1425184022.7514
2011,1,31605,1422386925.252
2011,2,28657,1286727684.1319
2011,3,31653,1421129737.8913
2011,4,30660,1380247141.2666
2011,5,31640,1422745318.6823
2011,6,30511,1374975189.2522
2011,7,31741,1426774484.638
2011,8,31914,1439107892.8298
2011,9,30602,1377187141.3507
2011,10,31784,1425250651.1487
2011,11,30843,1388347785.3881
2011,12,31630,1420354269.8342
2012,1,31422,1411716047.017
2012,2,29301,1316391749.4926
2012,3,31881,1435688769.1223
2012,4,30268,1370398750.0139
2012,5,31688,1426033177.4692
2012,6,30662,1386516180.7075
2012,7,31970,1442548432.8259
2012,8,31759,1423523851.2421
2012,9,30621,1376341724.1478
2012,10,31568,1419557425.372
2012,11,30921,1389008947.9455
2012,12,31584,1417843285.7627
2013,1,31491,1412064754.5145
2013,2,28729,1295651374.3033
2013,3,32068,1441741887.2659
2013,4,30417,1369461880.8968
2013,5,31790,1425385085.5482
2013,6,30518,1369117870.3177
2013,7,31775,1429080263.5832
2013,8,31746,1428100121.8386
2013,9,30529,1379458704.5179
2013,10,31575,1425464678.8515
2013,11,30415,1367245117.638
2013,12,31585,1427481868.934
2014,1,31687,1430855017.9362
2014,2,28465,1284823686.8642
2014,3,31569,1419963573.5629
2014,4,30810,1377538299.2499
2014,5,31548,1419280529.272
2014,6,30918,1392937429.5434
2014,7,31891,1434901103.2354
2014,8,31510,1412242457.1648
2014,9,30799,1386386969.3557
2014,10,32091,1442600022.0958
2014,11,30739,1388114413.5328
2014,12,31489,1418257567.202
2015,1,31284,1410952960.0063
2015,2,28835,1295864886.5716
2015,3,31431,1414843085.5579
2015,4,30671,1380531198.7898
2015,5,31566,1422416821.2016
2015,6,30522,1371821354.0073
2015,7,32041,1442748386.6476
2015,8,31712,1424628719.5263
2015,9,30773,1390589647.8594
2015,10,31571,1414891790.7151
2015,11,30313,1362700923.6016
2015,12,31585,1421617648.3426
2016,1,31837,1434382210.1753
2016,2,29594,1330154953.9682
2016,3,31685,1424909042.5682
2016,4,30980,1389871512.5168
2016,5,31352,1412512863.4605
2016,6,30570,1381061513.2057
2016,7,31804,1431656949.8966
2016,8,31662,1425515031.8347
2016,9,30696,1378348633.0958
2016,10,31413,1413734827.8652
2016,11,30580,1375809916.026
2016,12,31466,1415791495.8044
2017,1,31595,1420204827.8447
2017,2,28341,1276555167.6716
2017,3,31677,1418956514.0137
2017,4,30697,1376329658.598
2017,5,32060,1442198914.9208
2017,6,30972,1397152037.7117
2017,7,31538,1418654957.4687
2017,8,31791,1435599159.9384
2017,9,30449,1368961925.6296
2017,10,31636,1426275195.6974
2017,11,30706,1382918225.187
2017,12,32106,1437868233.3444
